Year,DU,Area,Management_action
1986,Both,Coastwide,8 rockfish daily bag limit per person implemented.
1992,Inside,Strait of Georgia,"Daily limit reduced to 5 rockfish per person in Areas 12 to 19, 28 and 29 and Subareas 20-4 and 20-7."
2002,Inside,4B,"Inshore Rockfish Conservation Strategy - Daily limit reduced to 1 rockfish in Areas 12 to 19, 28 and 29 and Subareas 20-5 to 20-7."
,Outside,"North (Haida Gwaii, North and Central Coast)","Inshore Rockfish Conservation Strategy - Daily limit reduced to 5 rockfish in Areas 1 to 10, 101 to 111 and 130 to 142. Yelloweye daily limit of 3."
,Outside,South Coast (WCVI),"Inshore Rockfish Conservation Strategy - Daily limit reduced to 3 rockfish in Areas 11, 21 to 27 and 121 to 127 and Subareas 20-1 to 20-4. Yelloweye daily limit of 2."
2002-2007,Both,Coastwide,Rockfish Conservation Areas (RCAs) established - RCAs closed to fin fish harvest in recreational fishery.
2006,Inside,4B,"Inshore rockfish recreational fishery closed in Areas 13 to 19, 28 and 29 from October 1."
2007,Inside,4B,Inshore rockfish recreational fishery closed October 1-May 31 in Areas 13 to 19 and Subarea 29-5. Areas 28 and 29 (except Subarea 29-5) remain closed until further notice.
2008-2016,Inside,4B,"Inshore rockfish recreational fishery open May 1-September 30 in Areas 13 to 19, and Subareas 20-5 to 20-7 and 29-5. Areas 28 and 29 (except Subarea 29-5) remain closed."
2016,Outside,"North (Haida Gwaii, North and Central Coast)","Outside Yelloweye Rebuilding Plan - Daily Yelloweye limit reduced to 2, all rockfish limit remains at 5 in Areas 1 to 10, 101 to 110 and 130 to 142."
,Outside,South Coast (WCVI),"Outside Yelloweye Rebuilding Plan - Daily Yelloweye limit reduced to 1, all rockfish limit remains at 3 in Areas 11, 21 to 27, 111, 121 to 127 and Subareas 20-1 to 20-4. "
2017,Inside,4B,"Areas 13 to 19 and Subareas 12-1 to 12-13, 12-15 to 12-48, 20-5 to 20-7 and 29-5 open June 1 to September 30. Area 28 and 29 (except for Subarea 29-5) remain closed."
,Outside,"North (Haida Gwaii, North and Central Coast)","Daily rockfish limit reduced to 3, Yelloweye limit remains at 2. Clearly defined closed times (November 16 to March 31)."
 ,Outside,South Coast (WCVI),"Daily rockfish limit reduced to 2, Yelloweye limit remains at 1 in Areas 11, 21 to 27, 111, 121 to 127 and Subareas 20-1 to 20-4. Clearly defined closed times (November 16 to March 31)."
2018,Outside,All,"3 Rockfish daily, only 1 of which may be a China,"
Tiger or Quillback Rockfish; possession limits are,,,
twice the daily limit. ,,,
0 daily + possession limit for Yelloweye Rockfish and Bocaccio.,,,
Season length April 1 ? November 15,,,
2019,Inside,4B,1 Rockfish daily; possession limits are
twice the daily limit. ,,,
0 daily + possession limit for Yelloweye Rockfish and Bocaccio.,,,
Season length May 1 ? October 1.,,,
2019,Both,Coastwide,Condition of License: ?Anglers in vessels shall immediately return all rockfish that are not being retained to the water and to a similar depth from which they were caught by use of an inverted weighted barbless hook or other purpose-built descender device.?
