year,catch,effort
1918,0.9,16600
1919,0.9,16600
1920,0.9,16600
1921,0.9,16600
1922,0.9,16600
1923,0.9,16600
1924,0.9,16600
1925,0.9,16600
1926,0.9,16600
1927,0.9,16600
1928,0.9,16600
1929,0.9,16600
1930,0.9,16600
1931,0.9,16600
1932,0.9,16600
1933,0.9,16600
1934,0.9,16600
1935,0.9,16600
1936,0.9,16600
1937,0.9,16600
1938,0.9,16600
1939,0.9,16600
1940,0.9,16600
1941,0.9,16600
1942,0.9,16600
1943,0.9,16600
1944,0.9,16600
1945,0.9,16600
1946,1,19800
1947,2,39500
1948,3.1,59300
1949,4.1,79000
1950,5.1,98800
1951,6.1,118600
1952,7.2,138300
1953,8.2,158100
1954,9.2,177800
1955,10.2,197600
1956,11.3,217400
1957,12.3,237100
1958,13.3,256900
1959,14.3,276600
1960,15.4,296400
1961,17.2,332800
1962,17.2,332800
1963,17.2,332800
1964,17.2,332800
1965,17.2,332800
1966,17.2,332800
1967,17.2,332800
1968,17.2,332800
1969,17.2,332800
1970,18.2,350300
1971,19.1,367800
1972,20,385300
1973,20.9,402900
1974,21.8,420400
1975,22.7,437900
1976,23.6,455400
1977,24.5,472900
1978,25.4,490400
1979,26.3,507900
1980,27.2,525500
1981,15.9,306500
1982,33.40323099,609738.37
1983,29.53304629,581763.52
1984,22.02304046,709685.92
1985,24.84371959,685082.44
1986,32.13094357,635438.39
1987,21.62188962,642697.79
1988,32.86592454,714448.13
1989,36.15660093,657638.42
1990,29.31266454,572526.86
1991,33.28933201,493093.11
1992,26.2830689,500667.52
1993,17.01143872,542848.34
1994,26.61918995,480410.96
1995,21.20888102,352769.78
1996,19.78391028,314722.24
1997,15.63881431,297398.87
1998,14.2869144,181874.13
1999,11.37379577,178133.25
2000,15.99576,201870
2001,21.99417,206345
2002,8.37636,217408
2003,9.45453,197227
2004,7.68414,148898
2005,3.87195,125019
2006,6.15528,119256
2007,2.36799,128332
2008,4.44963,110568
2009,4.13091,119343
2010,4.60401,111307
2011,4.78578,113544
2012,5.07213,NA
2013,11.14275,164466
2014,1.89987,132320
2015,6.10548,159424
2016,8.92416,143219
2017,10.30362,168385
2018,7.78374,199023
2019,4.8804,111171
